subject	stimulus	response	goodness	reactionTime
KI001	stim_F1_700	ä	3	3.2115515409968793
KI001	stim_F1_300	i	4	5.847514583030716
KI001	stim_F1_800	ä	5	1.4552147081121802
KI001	stim_F1_200	i	4	1.949044374981895
KI001	stim_F1_500	e	2	1.4145982498303056
KI001	stim_F1_400	e	3	1.5349465000908822
KI001	stim_F1_600	e	1	2.5318680421914905
KI001	stim_F1_300	i	3	2.172519958112389
KI001	stim_F1_700	ä	4	1.35154258296825
KI001	stim_F1_500	e	5	1.948147082934156
KI001	stim_F1_400	e	4	1.9490554169751704
KI001	stim_F1_800	ä	5	6.593744250014424
KI001	stim_F1_200	i	4	2.149460082873702
KI001	stim_F1_600	e	3	2.6913291660603136
KI001	stim_F1_300	i	1	2.3167219581082463
KI001	stim_F1_600	e	2	1.5242758328095078
KI001	stim_F1_500	e	4	1.494746958836913
KI001	stim_F1_200	i	3	2.4444357918109745
KI001	stim_F1_700	ä	4	2.7082316249143332
KI001	stim_F1_800	ä	5	1.278799041872844
KI001	stim_F1_400	e	4	2.779589334037155
KI001	stim_F1_600	e	3	1.4547493341378868
KI001	stim_F1_500	e	4	1.6146865000482649
KI001	stim_F1_400	e	5	1.947399416938424
KI001	stim_F1_300	i	3	4.949814375024289
KI001	stim_F1_200	i	3	1.5923005838412791
KI001	stim_F1_700	ä	4	1.4331226251088083
KI001	stim_F1_800	ä	5	1.2719244158361107
KI001	stim_F1_500	e	2	2.707853459054604
KI001	stim_F1_200	i	4	2.4843195830471814
KI001	stim_F1_400	e	5	2.0854065420571715
KI001	stim_F1_600	e	4	2.460030500078574
KI001	stim_F1_800	ä	5	1.690466667059809
KI001	stim_F1_700	ä	5	1.792413208866492
KI001	stim_F1_300	e	1	3.6255514579825103
