fail	vokaal	lagi	F1	F2	F3
isoleeritud_vokaalid	a	4731	564	867	2346
isoleeritud_vokaalid	o	4031	358	606	2284
isoleeritud_vokaalid	õ	3971	297	1140	2324
isoleeritud_vokaalid	u	4637	271	476	2365
isoleeritud_vokaalid	ä	4324	743	1621	2507
isoleeritud_vokaalid	e	3971	340	2085	2381
isoleeritud_vokaalid	ö	4778	297	1661	2153
isoleeritud_vokaalid	i	4826	216	2223	3548
isoleeritud_vokaalid	ü	4113	221	2090	2460
0063	a	4950	693	1003	2818
0063	o	4616	452	770	2921
0063	õ	4412	450	1662	2711
0063	u	4616	320	766	2503
0063	ä	5666	808	1703	2891
0063	e	4852	447	1944	2638
0063	ö	4412	443	1699	2422
0063	i	4412	397	2239	3248
0063	ü	5609	316	1903	2510
